iter	Passed	Remaining
0	4	442
1	8	421
2	12	414
3	18	436
4	24	457
5	28	448
6	31	418
7	35	398
8	38	384
9	41	371
10	44	355
11	47	345
12	50	335
13	53	325
14	56	314
15	60	311
16	63	303
17	66	299
18	68	290
19	72	285
20	76	283
21	80	282
22	84	279
23	87	272
24	90	267
25	93	262
26	96	257
27	99	253
28	102	248
29	106	244
30	109	239
31	112	235
32	115	231
33	118	226
34	121	221
35	124	218
36	127	214
37	131	210
38	134	206
39	137	202
40	140	198
41	143	195
42	146	191
43	150	188
44	153	183
45	156	180
46	160	177
47	164	174
48	167	170
49	170	166
50	173	163
51	177	160
52	180	157
53	184	153
54	187	149
55	190	146
56	194	143
57	198	140
58	201	136
59	206	133
60	208	130
61	212	126
62	215	123
63	218	119
64	222	116
65	225	112
66	228	109
67	231	105
68	234	102
69	238	98
70	242	95
71	246	92
72	249	88
73	252	85
74	255	81
75	258	78
76	262	74
77	265	71
78	269	68
79	273	64
80	277	61
81	281	58
82	284	54
83	287	51
84	291	47
85	295	44
86	299	41
87	303	37
88	307	34
89	310	31
90	313	27
91	317	24
92	321	20
93	324	17
94	328	13
95	332	10
96	335	6
97	338	3
98	341	0
